,Symbol,Industry
187,ANTM,Health Care Providers & Services
188,ANY,Software
189,AON,Insurance
190,AOS,Building Products
191,AOSL,Semiconductors & Semiconductor Equipment
192,AP,Metals & Mining
193,APA,"Oil, Gas & Consumable Fuels"
194,APAM,Capital Markets
195,APD,Chemicals
196,APDN,"Electronic Equipment, Instruments & C..."
197,APEI,Diversified Consumer Services
198,APEN,Health Care Equipment & Supplies
199,APH,"Electronic Equipment, Instruments & C..."
200,APLE,Equity Real Estate Investment Trusts...
201,APO,Capital Markets
202,APOG,Building Products
203,APOP,Life Sciences Tools & Services
204,APPF,Software
205,APPS,Software
206,APT,Building Products
207,APTO,Biotechnology
208,APTS,Equity Real Estate Investment Trusts...
209,APTV,Auto Components
210,APVO,Biotechnology
211,AQMS,Commercial Services & Supplies
212,AQN,Multi-Utilities
213,AR,"Oil, Gas & Consumable Fuels"
214,ARAV,Biotechnology
215,ARAY,Health Care Equipment & Supplies
216,ARC,Commercial Services & Supplies
217,ARCB,Road & Rail
218,ARCC,Capital Markets
219,ARCH,"Oil, Gas & Consumable Fuels"
220,ARCO,"Hotels, Restaurants & Leisure"
221,ARCT,Biotechnology
222,ARDX,Biotechnology
223,ARE,Equity Real Estate Investment Trusts...
224,ARES,Capital Markets
225,ARGO,Insurance
226,ARI,Mortgage Real Estate Investment Trus...
227,ARLP,"Oil, Gas & Consumable Fuels"
228,ARMK,"Hotels, Restaurants & Leisure"
229,ARMP,Biotechnology
230,ARNA,Biotechnology
231,AROC,Energy Equipment & Services
232,AROW,Banks
233,ARR,Mortgage Real Estate Investment Trus...
234,ARTNA,Water Utilities
235,ARW,"Electronic Equipment, Instruments & C..."
236,ARWR,Biotechnology
237,ASA,Capital Markets
238,ASB,Banks
239,ASC,"Oil, Gas & Consumable Fuels"
240,ASGN,Professional Services
241,ASH,Chemicals
242,ASIX,Chemicals
243,ASM,Metals & Mining
244,ASMB,Biotechnology
245,ASML,Semiconductors & Semiconductor Equipment
246,ASND,Biotechnology
247,ASPN,Energy Equipment & Services
248,ASPS,Real Estate Management & Development
249,ASR,Transportation Infrastructure
250,ASRT,Pharmaceuticals
251,ASTC,Aerospace & Defense
252,ASTE,Machinery
253,ASUR,Software
254,ASX,Semiconductors & Semiconductor Equipment
255,ASXC,Medical Devices
256,ASYS,Semiconductors & Semiconductor Equipment
257,ATAX,Thrifts & Mortgage Finance
258,ATCO,Marine
259,ATEC,Health Care Equipment & Supplies
260,ATEN,Software
261,ATEX,Diversified Telecommunication Services
262,ATGE,Diversified Consumer Services
263,ATH,Insurance
264,ATHM,Interactive Media & Services
265,ATHX,Biotechnology
266,ATI,Metals & Mining
267,ATKR,Electrical Equipment
268,ATLO,Banks
269,ATNI,Diversified Telecommunication Services
270,ATNM,Biotechnology
271,ATO,Gas Utilities
272,ATOM,Semiconductors & Semiconductor Equipment
273,ATOS,Health Care Equipment & Supplies
274,ATR,Containers & Packaging
275,ATRA,Biotechnology
276,ATRC,Health Care Equipment & Supplies
277,ATRI,Health Care Equipment & Supplies
278,ATRO,Aerospace & Defense
279,ATRS,Health Care Equipment & Supplies
280,ATSG,Air Freight & Logistics
281,ATTO,Commercial Services & Supplies
282,ATVI,Entertainment
283,ATXS,Biotechnology
284,AU,Metals & Mining
285,AUB,Banks
286,AUD,Media
287,AUDC,Communications Equipment
288,AUMN,Metals & Mining
289,AUPH,Biotechnology
290,AUTO,Interactive Media & Services
291,AUY,Metals & Mining
292,AVA,Multi-Utilities
293,AVAL,Banks
294,AVAV,Aerospace & Defense
295,AVB,Equity Real Estate Investment Trusts...
296,AVD,Chemicals
297,AVDL,Pharmaceuticals
298,AVEO,Biotechnology
299,AVGO,Semiconductors & Semiconductor Equipment
300,AVGR,Health Care Equipment & Supplies
301,AVID,"Technology Hardware, Storage & Periph..."
302,AVNS,Health Care Equipment & Supplies
303,AVNT,Chemicals
